date,tweet,category,priority,sentiment,Verified,Disaster
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Drought
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-03-03 07:03:34+00:00,"Across South America in the last two months, #floods and #landslides in Bolivia and Ecuador, and #drought and #wildfires in Chile and Colombia are ongoing signs of the #ClimateCrisis",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-02-29 10:20:18+00:00,Wildfires  Going On In Texas  #wildfires #texasfires,Disaster Status Information,Low Priority,Very Positive,False,Wildfire
2024-02-28 17:58:01+00:00,START YOUR STAND UP COMEDY CAREER FOR $11.99  Purchase Link: https://buff.ly/2An6ULy C https://buff.ly/2G9fixh #thevoice #rhonj #taylorswift #mia #jordan #hurricanes #cbs #espn  #beautiful #dexter #chi #camden #jimmyfall,Disaster Status Information,Low Priority,Very Positive,False,Hurricanes
2024-03-04 06:14:06+00:00,"USGS reports a M4.9 earthquake, South Sandwich Islands region on 3/4/24 @ 5:57:19 UTChttps://earthquake.usgs.gov/earthquakes/eventpage/us6000mglf…Try Every Earthquake on your iPhone! Grab the new app here: https://apps.apple.com/us/app/every-earthquake/id1518750802…#earthquake",Disaster Status Information,Low Priority,Very Negative,True,Earthquake
2024-02-28 15:14:03+00:00,"#Wildfires are burning out of control across the plains in #Nebraska, #Oklahoma, and #Texas.",Disaster Status Information,Low Priority,Very Negative,False,Wildfire
2024-02-28 23:54:39+00:00,"DROUGHT, FAMINE, WAR ... HAS GOD LOST CONTROL? ▸http://dld.bz/dRYWH  | #disease #tornadoes #earthquakes",Disaster Status Information,Low Priority,Very Negative,False,Tornadoes
2024-02-29 10:40:13+00:00,"Australian Bushfire Emergency: Evacuations as Blaze Threatens Towns | Australia News | N18S #NaturalDisaster #NaturalDisaster #EmergencyPreparedness #Fire #Floods [Video] Evacuation warnings issued as a bushfire in Victoria, Australia, threaten rural…",Disaster Status Information,Low Priority,Very Negative,False,Floods
2024-02-27 20:29:18+00:00,"The arrival of #storm #Dorothea over #Italy is bringing heavy #snow on the #Alps, while strong #rains are causing #landslides and local #floods in western &northern regions. Here the latest 12hrs evolution seen by #MSG #weather #winter #maltempo  ",Disaster Status Information,Low Priority,Positive,False,Floods
